orszag,ev,szam
Norway,2020,13110.0
Norway,2021,
Norway,2022,
Poland,2013,157244.0
Poland,2014,164337.0
Poland,2015,163869.0
Poland,2016,166797.0
Poland,2017,165095.0
Poland,2018,164460.0
Poland,2019,154862.0
Poland,2020,120980.0
Poland,2021,141604.0
Poland,2022,128052.0
Portugal,2013,25217.0
Portugal,2014,24601.0
Portugal,2015,25247.0
Portugal,2016,24935.0
Portugal,2017,25535.0
Portugal,2018,26129.0
Portugal,2019,24658.0
Portugal,2020,12861.0
Portugal,2021,21696.0
Portugal,2022,27231.0
Romania,2013,91479.0
Romania,2014,101332.0
Romania,2015,107766.0
Romania,2016,114129.0
Romania,2017,122732.0
Romania,2018,122854.0
Romania,2019,122854.0
Romania,2020,66966.0
Romania,2021,96500.0
Romania,2022,99422.0
Russia,2013,872554.0
Russia,2014,857610.0
Russia,2015,
Russia,2016,
Russia,2017,
Russia,2018,
Russia,2019,
Russia,2020,
Russia,2021,
Russia,2022,
Serbia,2013,31687.0
Serbia,2014,31851.0
Serbia,2015,32062.0
Serbia,2016,31007.0
Serbia,2017,30885.0
Serbia,2018,30996.0
Serbia,2019,30147.0
Serbia,2020,19700.0
Serbia,2021,28178.0
Serbia,2022,28643.0
Slovakia,2013,21770.0
Slovakia,2014,22859.0
Slovakia,2015,24848.0
Slovakia,2016,25596.0
Slovakia,2017,26812.0
Slovakia,2018,26569.0
Slovakia,2019,25326.0
Slovakia,2020,19934.0
Slovakia,2021,22460.0
Slovakia,2022,24317.0
Slovenia,2013,5600.0
Slovenia,2014,5874.0
Slovenia,2015,5768.0
Slovenia,2016,5918.0
Slovenia,2017,5851.0
Slovenia,2018,6394.0
Slovenia,2019,5907.0
Slovenia,2020,4620.0
Slovenia,2021,5259.0
Slovenia,2022,6006.0
Spain,2013,129312.0
Spain,2014,134190.0
Spain,2015,138788.0
Spain,2016,142563.0
Spain,2017,140118.0
Spain,2018,134046.0
Spain,2019,131922.0
Spain,2020,68377.0
Spain,2021,117407.0
Spain,2022,143811.0
Special value,2013,
Special value,2014,
Special value,2015,
Special value,2016,
Special value,2017,
Special value,2018,
Special value,2019,
Special value,2020,
Special value,2021,
Special value,2022,
Sweden,2013,36588.0
Sweden,2014,37950.0
Sweden,2015,37548.0
Sweden,2016,39119.0
Sweden,2017,38527.0
Sweden,2018,37708.0
Sweden,2019,35843.0
Sweden,2020,28161.0
Sweden,2021,28958.0
Sweden,2022,36233.0
Switzerland,2013,30901.0
Switzerland,2014,32787.0
Switzerland,2015,32423.0
Switzerland,2016,32864.0
Switzerland,2017,32119.0
Switzerland,2018,32375.0
Switzerland,2019,31068.0
Switzerland,2020,28389.0
Switzerland,2021,29373.0
Switzerland,2022,30615.0
Türkiye,2013,513728.0
Türkiye,2014,512612.0
Türkiye,2015,514329.0
Türkiye,2016,503480.0
Türkiye,2017,483501.0
Türkiye,2018,467070.0
Türkiye,2019,455387.0
Türkiye,2020,406933.0
Türkiye,2021,
Türkiye,2022,477372.0
Ukraine,2013,227254.0
Ukraine,2014,218997.0
Ukraine,2015,224509.0
Ukraine,2016,170044.0
Ukraine,2017,182832.0
Ukraine,2018,165002.0
Ukraine,2019,170632.0
Ukraine,2020,118478.0
Ukraine,2021,150449.0
Ukraine,2022,
United Kingdom,2013,212240.0
United Kingdom,2014,
United Kingdom,2015,214618.0
United Kingdom,2016,
United Kingdom,2017,
United Kingdom,2018,
United Kingdom,2019,
United Kingdom,2020,
United Kingdom,2021,
United Kingdom,2022,
,2013,
,2014,
,2015,
,2016,
,2017,
,2018,
,2019,
,2020,
,2021,
,2022,
