Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
0- 4 ani, Total, Total, Cluj, Anul 2017, Numar persoane, 33389
0- 4 ani, Total, Total, Cluj, Anul 2018, Numar persoane, 34771
0- 4 ani, Total, Total, Cluj, Anul 2019, Numar persoane, 36059
0- 4 ani, Total, Total, Cluj, Anul 2020, Numar persoane, 36920
0- 4 ani, Total, Total, Cluj, Anul 2021, Numar persoane, 37175
0- 4 ani, Total, Total, Cluj, Anul 2022, Numar persoane, 36488
0- 4 ani, Total, Total, Cluj, Anul 2023, Numar persoane, 36204
0- 4 ani, Total, Total, Maramures, Anul 2012, Numar persoane, 25184
0- 4 ani, Total, Total, Maramures, Anul 2013, Numar persoane, 23651
0- 4 ani, Total, Total, Maramures, Anul 2014, Numar persoane, 22332
0- 4 ani, Total, Total, Maramures, Anul 2015, Numar persoane, 21894
0- 4 ani, Total, Total, Maramures, Anul 2016, Numar persoane, 21873
0- 4 ani, Total, Total, Maramures, Anul 2017, Numar persoane, 22352
0- 4 ani, Total, Total, Maramures, Anul 2018, Numar persoane, 23502
0- 4 ani, Total, Total, Maramures, Anul 2019, Numar persoane, 24428
0- 4 ani, Total, Total, Maramures, Anul 2020, Numar persoane, 24628
0- 4 ani, Total, Total, Maramures, Anul 2021, Numar persoane, 24475
0- 4 ani, Total, Total, Maramures, Anul 2022, Numar persoane, 22772
0- 4 ani, Total, Total, Maramures, Anul 2023, Numar persoane, 22326
0- 4 ani, Total, Total, Satu Mare, Anul 2012, Numar persoane, 19471
0- 4 ani, Total, Total, Satu Mare, Anul 2013, Numar persoane, 18344
0- 4 ani, Total, Total, Satu Mare, Anul 2014, Numar persoane, 17349
0- 4 ani, Total, Total, Satu Mare, Anul 2015, Numar persoane, 17020
0- 4 ani, Total, Total, Satu Mare, Anul 2016, Numar persoane, 16718
0- 4 ani, Total, Total, Satu Mare, Anul 2017, Numar persoane, 16951
0- 4 ani, Total, Total, Satu Mare, Anul 2018, Numar persoane, 17796
0- 4 ani, Total, Total, Satu Mare, Anul 2019, Numar persoane, 18191
0- 4 ani, Total, Total, Satu Mare, Anul 2020, Numar persoane, 18309
0- 4 ani, Total, Total, Satu Mare, Anul 2021, Numar persoane, 18414
0- 4 ani, Total, Total, Satu Mare, Anul 2022, Numar persoane, 16959
0- 4 ani, Total, Total, Satu Mare, Anul 2023, Numar persoane, 16493
0- 4 ani, Total, Total, Salaj, Anul 2012, Numar persoane, 12045
0- 4 ani, Total, Total, Salaj, Anul 2013, Numar persoane, 11854
0- 4 ani, Total, Total, Salaj, Anul 2014, Numar persoane, 11573
0- 4 ani, Total, Total, Salaj, Anul 2015, Numar persoane, 11639
0- 4 ani, Total, Total, Salaj, Anul 2016, Numar persoane, 11663
0- 4 ani, Total, Total, Salaj, Anul 2017, Numar persoane, 11882
0- 4 ani, Total, Total, Salaj, Anul 2018, Numar persoane, 12024
0- 4 ani, Total, Total, Salaj, Anul 2019, Numar persoane, 12045
0- 4 ani, Total, Total, Salaj, Anul 2020, Numar persoane, 12047
0- 4 ani, Total, Total, Salaj, Anul 2021, Numar persoane, 12151
0- 4 ani, Total, Total, Salaj, Anul 2022, Numar persoane, 11693
0- 4 ani, Total, Total, Salaj, Anul 2023, Numar persoane, 11432
0- 4 ani, Total, Total, Alba, Anul 2012, Numar persoane, 16399
0- 4 ani, Total, Total, Alba, Anul 2013, Numar persoane, 15856
0- 4 ani, Total, Total, Alba, Anul 2014, Numar persoane, 15391
0- 4 ani, Total, Total, Alba, Anul 2015, Numar persoane, 15136
0- 4 ani, Total, Total, Alba, Anul 2016, Numar persoane, 15177
0- 4 ani, Total, Total, Alba, Anul 2017, Numar persoane, 15421
0- 4 ani, Total, Total, Alba, Anul 2018, Numar persoane, 15569
0- 4 ani, Total, Total, Alba, Anul 2019, Numar persoane, 15629
0- 4 ani, Total, Total, Alba, Anul 2020, Numar persoane, 15682
0- 4 ani, Total, Total, Alba, Anul 2021, Numar persoane, 15739
0- 4 ani, Total, Total, Alba, Anul 2022, Numar persoane, 14985
0- 4 ani, Total, Total, Alba, Anul 2023, Numar persoane, 14827
0- 4 ani, Total, Total, Brasov, Anul 2012, Numar persoane, 30618
0- 4 ani, Total, Total, Brasov, Anul 2013, Numar persoane, 29887
0- 4 ani, Total, Total, Brasov, Anul 2014, Numar persoane, 29434
0- 4 ani, Total, Total, Brasov, Anul 2015, Numar persoane, 29542
0- 4 ani, Total, Total, Brasov, Anul 2016, Numar persoane, 29730
0- 4 ani, Total, Total, Brasov, Anul 2017, Numar persoane, 30619
0- 4 ani, Total, Total, Brasov, Anul 2018, Numar persoane, 31832
0- 4 ani, Total, Total, Brasov, Anul 2019, Numar persoane, 32820
0- 4 ani, Total, Total, Brasov, Anul 2020, Numar persoane, 33051
0- 4 ani, Total, Total, Brasov, Anul 2021, Numar persoane, 33375
0- 4 ani, Total, Total, Brasov, Anul 2022, Numar persoane, 31649
0- 4 ani, Total, Total, Brasov, Anul 2023, Numar persoane, 31300
0- 4 ani, Total, Total, Covasna, Anul 2012, Numar persoane, 11846
0- 4 ani, Total, Total, Covasna, Anul 2013, Numar persoane, 11677
0- 4 ani, Total, Total, Covasna, Anul 2014, Numar persoane, 11507
0- 4 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 11306
0- 4 ani, Total, Total, Covasna, Anul 2016, Numar persoane, 11087
0- 4 ani, Total, Total, Covasna, Anul 2017, Numar persoane, 11143
0- 4 ani, Total, Total, Covasna, Anul 2018, Numar persoane, 11057
0- 4 ani, Total, Total, Covasna, Anul 2019, Numar persoane, 10961
0- 4 ani, Total, Total, Covasna, Anul 2020, Numar persoane, 11012
0- 4 ani, Total, Total, Covasna, Anul 2021, Numar persoane, 11095
0- 4 ani, Total, Total, Covasna, Anul 2022, Numar persoane, 10917
0- 4 ani, Total, Total, Covasna, Anul 2023, Numar persoane, 10773
0- 4 ani, Total, Total, Harghita, Anul 2012, Numar persoane, 17409
0- 4 ani, Total, Total, Harghita, Anul 2013, Numar persoane, 17027
0- 4 ani, Total, Total, Harghita, Anul 2014, Numar persoane, 16552
0- 4 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 16293
0- 4 ani, Total, Total, Harghita, Anul 2016, Numar persoane, 16029
0- 4 ani, Total, Total, Harghita, Anul 2017, Numar persoane, 16014
0- 4 ani, Total, Total, Harghita, Anul 2018, Numar persoane, 16018
0- 4 ani, Total, Total, Harghita, Anul 2019, Numar persoane, 16052
0- 4 ani, Total, Total, Harghita, Anul 2020, Numar persoane, 16020
0- 4 ani, Total, Total, Harghita, Anul 2021, Numar persoane, 15885
0- 4 ani, Total, Total, Harghita, Anul 2022, Numar persoane, 16043
0- 4 ani, Total, Total, Harghita, Anul 2023, Numar persoane, 15703
0- 4 ani, Total, Total, Mures, Anul 2012, Numar persoane, 30243
0- 4 ani, Total, Total, Mures, Anul 2013, Numar persoane, 29383
0- 4 ani, Total, Total, Mures, Anul 2014, Numar persoane, 28551
0- 4 ani, Total, Total, Mures, Anul 2015, Numar persoane, 28479
0- 4 ani, Total, Total, Mures, Anul 2016, Numar persoane, 28439
0- 4 ani, Total, Total, Mures, Anul 2017, Numar persoane, 28768
0- 4 ani, Total, Total, Mures, Anul 2018, Numar persoane, 29260
0- 4 ani, Total, Total, Mures, Anul 2019, Numar persoane, 29492
0- 4 ani, Total, Total, Mures, Anul 2020, Numar persoane, 29203
0- 4 ani, Total, Total, Mures, Anul 2021, Numar persoane, 29461
0- 4 ani, Total, Total, Mures, Anul 2022, Numar persoane, 28244
0- 4 ani, Total, Total, Mures, Anul 2023, Numar persoane, 27773
0- 4 ani, Total, Total, Sibiu, Anul 2012, Numar persoane, 22528
0- 4 ani, Total, Total, Sibiu, Anul 2013, Numar persoane, 22066
0- 4 ani, Total, Total, Sibiu, Anul 2014, Numar persoane, 21619
0- 4 ani, Total, Total, Sibiu, Anul 2015, Numar persoane, 21425
0- 4 ani, Total, Total, Sibiu, Anul 2016, Numar persoane, 21524
0- 4 ani, Total, Total, Sibiu, Anul 2017, Numar persoane, 22026
0- 4 ani, Total, Total, Sibiu, Anul 2018, Numar persoane, 22704
0- 4 ani, Total, Total, Sibiu, Anul 2019, Numar persoane, 23186
0- 4 ani, Total, Total, Sibiu, Anul 2020, Numar persoane, 23212
0- 4 ani, Total, Total, Sibiu, Anul 2021, Numar persoane, 22928
0- 4 ani, Total, Total, Sibiu, Anul 2022, Numar persoane, 22075
0- 4 ani, Total, Total, Sibiu, Anul 2023, Numar persoane, 21417
0- 4 ani, Total, Total, Bacau, Anul 2012, Numar persoane, 33942
0- 4 ani, Total, Total, Bacau, Anul 2013, Numar persoane, 32195
0- 4 ani, Total, Total, Bacau, Anul 2014, Numar persoane, 31371
0- 4 ani, Total, Total, Bacau, Anul 2015, Numar persoane, 31799
0- 4 ani, Total, Total, Bacau, Anul 2016, Numar persoane, 32167
0- 4 ani, Total, Total, Bacau, Anul 2017, Numar persoane, 32906
0- 4 ani, Total, Total, Bacau, Anul 2018, Numar persoane, 34007
0- 4 ani, Total, Total, Bacau, Anul 2019, Numar persoane, 34323
0- 4 ani, Total, Total, Bacau, Anul 2020, Numar persoane, 34367
0- 4 ani, Total, Total, Bacau, Anul 2021, Numar persoane, 34132
0- 4 ani, Total, Total, Bacau, Anul 2022, Numar persoane, 31006
0- 4 ani, Total, Total, Bacau, Anul 2023, Numar persoane, 30868
0- 4 ani, Total, Total, Botosani, Anul 2012, Numar persoane, 22571
0- 4 ani, Total, Total, Botosani, Anul 2013, Numar persoane, 21521
0- 4 ani, Total, Total, Botosani, Anul 2014, Numar persoane, 20317
0- 4 ani, Total, Total, Botosani, Anul 2015, Numar persoane, 19706
0- 4 ani, Total, Total, Botosani, Anul 2016, Numar persoane, 19448
0- 4 ani, Total, Total, Botosani, Anul 2017, Numar persoane, 19521
0- 4 ani, Total, Total, Botosani, Anul 2018, Numar persoane, 19622
0- 4 ani, Total, Total, Botosani, Anul 2019, Numar persoane, 19729
0- 4 ani, Total, Total, Botosani, Anul 2020, Numar persoane, 19887
0- 4 ani, Total, Total, Botosani, Anul 2021, Numar persoane, 20053
0- 4 ani, Total, Total, Botosani, Anul 2022, Numar persoane, 19165
0- 4 ani, Total, Total, Botosani, Anul 2023, Numar persoane, 19162
0- 4 ani, Total, Total, Iasi, Anul 2012, Numar persoane, 46241
0- 4 ani, Total, Total, Iasi, Anul 2013, Numar persoane, 44426
0- 4 ani, Total, Total, Iasi, Anul 2014, Numar persoane, 43583
0- 4 ani, Total, Total, Iasi, Anul 2015, Numar persoane, 44349
0- 4 ani, Total, Total, Iasi, Anul 2016, Numar persoane, 45257
0- 4 ani, Total, Total, Iasi, Anul 2017, Numar persoane, 47432
0- 4 ani, Total, Total, Iasi, Anul 2018, Numar persoane, 50282
0- 4 ani, Total, Total, Iasi, Anul 2019, Numar persoane, 52479
0- 4 ani, Total, Total, Iasi, Anul 2020, Numar persoane, 54394
0- 4 ani, Total, Total, Iasi, Anul 2021, Numar persoane, 55861
0- 4 ani, Total, Total, Iasi, Anul 2022, Numar persoane, 48776
0- 4 ani, Total, Total, Iasi, Anul 2023, Numar persoane, 48514
0- 4 ani, Total, Total, Neamt, Anul 2012, Numar persoane, 24017
0- 4 ani, Total, Total, Neamt, Anul 2013, Numar persoane, 23008
0- 4 ani, Total, Total, Neamt, Anul 2014, Numar persoane, 22493
0- 4 ani, Total, Total, Neamt, Anul 2015, Numar persoane, 22615
0- 4 ani, Total, Total, Neamt, Anul 2016, Numar persoane, 22685
0- 4 ani, Total, Total, Neamt, Anul 2017, Numar persoane, 23507
0- 4 ani, Total, Total, Neamt, Anul 2018, Numar persoane, 24106
0- 4 ani, Total, Total, Neamt, Anul 2019, Numar persoane, 24128
0- 4 ani, Total, Total, Neamt, Anul 2020, Numar persoane, 24051
0- 4 ani, Total, Total, Neamt, Anul 2021, Numar persoane, 23950
0- 4 ani, Total, Total, Neamt, Anul 2022, Numar persoane, 21670
0- 4 ani, Total, Total, Neamt, Anul 2023, Numar persoane, 21204
0- 4 ani, Total, Total, Suceava, Anul 2012, Numar persoane, 37611
0- 4 ani, Total, Total, Suceava, Anul 2013, Numar persoane, 36350
0- 4 ani, Total, Total, Suceava, Anul 2014, Numar persoane, 35664
0- 4 ani, Total, Total, Suceava, Anul 2015, Numar persoane, 36144
0- 4 ani, Total, Total, Suceava, Anul 2016, Numar persoane, 36600
0- 4 ani, Total, Total, Suceava, Anul 2017, Numar persoane, 38035
0- 4 ani, Total, Total, Suceava, Anul 2018, Numar persoane, 39886
0- 4 ani, Total, Total, Suceava, Anul 2019, Numar persoane, 41456
0- 4 ani, Total, Total, Suceava, Anul 2020, Numar persoane, 42400
0- 4 ani, Total, Total, Suceava, Anul 2021, Numar persoane, 43193
0- 4 ani, Total, Total, Suceava, Anul 2022, Numar persoane, 40604
0- 4 ani, Total, Total, Suceava, Anul 2023, Numar persoane, 40397
0- 4 ani, Total, Total, Vaslui, Anul 2012, Numar persoane, 23103
0- 4 ani, Total, Total, Vaslui, Anul 2013, Numar persoane, 21678
0- 4 ani, Total, Total, Vaslui, Anul 2014, Numar persoane, 21128
0- 4 ani, Total, Total, Vaslui, Anul 2015, Numar persoane, 21421
0- 4 ani, Total, Total, Vaslui, Anul 2016, Numar persoane, 22351
0- 4 ani, Total, Total, Vaslui, Anul 2017, Numar persoane, 23061
0- 4 ani, Total, Total, Vaslui, Anul 2018, Numar persoane, 23915
0- 4 ani, Total, Total, Vaslui, Anul 2019, Numar persoane, 24022
0- 4 ani, Total, Total, Vaslui, Anul 2020, Numar persoane, 25193
0- 4 ani, Total, Total, Vaslui, Anul 2021, Numar persoane, 25684
0- 4 ani, Total, Total, Vaslui, Anul 2022, Numar persoane, 20165
0- 4 ani, Total, Total, Vaslui, Anul 2023, Numar persoane, 20129
0- 4 ani, Total, Total, Braila, Anul 2012, Numar persoane, 14191
0- 4 ani, Total, Total, Braila, Anul 2013, Numar persoane, 13389
0- 4 ani, Total, Total, Braila, Anul 2014, Numar persoane, 12624
0- 4 ani, Total, Total, Braila, Anul 2015, Numar persoane, 12073
0- 4 ani, Total, Total, Braila, Anul 2016, Numar persoane, 11705
0- 4 ani, Total, Total, Braila, Anul 2017, Numar persoane, 11966
0- 4 ani, Total, Total, Braila, Anul 2018, Numar persoane, 12079
0- 4 ani, Total, Total, Braila, Anul 2019, Numar persoane, 12287
0- 4 ani, Total, Total, Braila, Anul 2020, Numar persoane, 12426
0- 4 ani, Total, Total, Braila, Anul 2021, Numar persoane, 12376
0- 4 ani, Total, Total, Braila, Anul 2022, Numar persoane, 11406
0- 4 ani, Total, Total, Braila, Anul 2023, Numar persoane, 11250
0- 4 ani, Total, Total, Buzau, Anul 2012, Numar persoane, 22117
0- 4 ani, Total, Total, Buzau, Anul 2013, Numar persoane, 21086
0- 4 ani, Total, Total, Buzau, Anul 2014, Numar persoane, 19951
0- 4 ani, Total, Total, Buzau, Anul 2015, Numar persoane, 19168
0- 4 ani, Total, Total, Buzau, Anul 2016, Numar persoane, 18382
0- 4 ani, Total, Total, Buzau, Anul 2017, Numar persoane, 18377
0- 4 ani, Total, Total, Buzau, Anul 2018, Numar persoane, 18305
0- 4 ani, Total, Total, Buzau, Anul 2019, Numar persoane, 18317
0- 4 ani, Total, Total, Buzau, Anul 2020, Numar persoane, 18334
0- 4 ani, Total, Total, Buzau, Anul 2021, Numar persoane, 18383
0- 4 ani, Total, Total, Buzau, Anul 2022, Numar persoane, 17576
0- 4 ani, Total, Total, Buzau, Anul 2023, Numar persoane, 17477
0- 4 ani, Total, Total, Constanta, Anul 2012, Numar persoane, 38096
0- 4 ani, Total, Total, Constanta, Anul 2013, Numar persoane, 37439
0- 4 ani, Total, Total, Constanta, Anul 2014, Numar persoane, 36276
0- 4 ani, Total, Total, Constanta, Anul 2015, Numar persoane, 35799
0- 4 ani, Total, Total, Constanta, Anul 2016, Numar persoane, 35338
0- 4 ani, Total, Total, Constanta, Anul 2017, Numar persoane, 36108
0- 4 ani, Total, Total, Constanta, Anul 2018, Numar persoane, 36488
0- 4 ani, Total, Total, Constanta, Anul 2019, Numar persoane, 36831
0- 4 ani, Total, Total, Constanta, Anul 2020, Numar persoane, 36499
0- 4 ani, Total, Total, Constanta, Anul 2021, Numar persoane, 36216
0- 4 ani, Total, Total, Constanta, Anul 2022, Numar persoane, 34014
0- 4 ani, Total, Total, Constanta, Anul 2023, Numar persoane, 33092
0- 4 ani, Total, Total, Galati, Anul 2012, Numar persoane, 26741
0- 4 ani, Total, Total, Galati, Anul 2013, Numar persoane, 25229
0- 4 ani, Total, Total, Galati, Anul 2014, Numar persoane, 24352
0- 4 ani, Total, Total, Galati, Anul 2015, Numar persoane, 23914
0- 4 ani, Total, Total, Galati, Anul 2016, Numar persoane, 23792
0- 4 ani, Total, Total, Galati, Anul 2017, Numar persoane, 24726
0- 4 ani, Total, Total, Galati, Anul 2018, Numar persoane, 25943
0- 4 ani, Total, Total, Galati, Anul 2019, Numar persoane, 26576
0- 4 ani, Total, Total, Galati, Anul 2020, Numar persoane, 27292
0- 4 ani, Total, Total, Galati, Anul 2021, Numar persoane, 27869
0- 4 ani, Total, Total, Galati, Anul 2022, Numar persoane, 23754
0- 4 ani, Total, Total, Galati, Anul 2023, Numar persoane, 24115
0- 4 ani, Total, Total, Tulcea, Anul 2012, Numar persoane, 10794
0- 4 ani, Total, Total, Tulcea, Anul 2013, Numar persoane, 10227
0- 4 ani, Total, Total, Tulcea, Anul 2014, Numar persoane, 9741
0- 4 ani, Total, Total, Tulcea, Anul 2015, Numar persoane, 9612
0- 4 ani, Total, Total, Tulcea, Anul 2016, Numar persoane, 9400
0- 4 ani, Total, Total, Tulcea, Anul 2017, Numar persoane, 9321
0- 4 ani, Total, Total, Tulcea, Anul 2018, Numar persoane, 9376
0- 4 ani, Total, Total, Tulcea, Anul 2019, Numar persoane, 9185
0- 4 ani, Total, Total, Tulcea, Anul 2020, Numar persoane, 8835
0- 4 ani, Total, Total, Tulcea, Anul 2021, Numar persoane, 8654
0- 4 ani, Total, Total, Tulcea, Anul 2022, Numar persoane, 8520
0- 4 ani, Total, Total, Tulcea, Anul 2023, Numar persoane, 8225
0- 4 ani, Total, Total, Vrancea, Anul 2012, Numar persoane, 18357
0- 4 ani, Total, Total, Vrancea, Anul 2013, Numar persoane, 17459
0- 4 ani, Total, Total, Vrancea, Anul 2014, Numar persoane, 16851
0- 4 ani, Total, Total, Vrancea, Anul 2015, Numar persoane, 16785
0- 4 ani, Total, Total, Vrancea, Anul 2016, Numar persoane, 16625
0- 4 ani, Total, Total, Vrancea, Anul 2017, Numar persoane, 16935
0- 4 ani, Total, Total, Vrancea, Anul 2018, Numar persoane, 17191
0- 4 ani, Total, Total, Vrancea, Anul 2019, Numar persoane, 17122
0- 4 ani, Total, Total, Vrancea, Anul 2020, Numar persoane, 16938
0- 4 ani, Total, Total, Vrancea, Anul 2021, Numar persoane, 16738
0- 4 ani, Total, Total, Vrancea, Anul 2022, Numar persoane, 16485
0- 4 ani, Total, Total, Vrancea, Anul 2023, Numar persoane, 16015
0- 4 ani, Total, Total, Arges, Anul 2012, Numar persoane, 28641
0- 4 ani, Total, Total, Arges, Anul 2013, Numar persoane, 27908
0- 4 ani, Total, Total, Arges, Anul 2014, Numar persoane, 27089
0- 4 ani, Total, Total, Arges, Anul 2015, Numar persoane, 26434
0- 4 ani, Total, Total, Arges, Anul 2016, Numar persoane, 25950
0- 4 ani, Total, Total, Arges, Anul 2017, Numar persoane, 26073
0- 4 ani, Total, Total, Arges, Anul 2018, Numar persoane, 26368
0- 4 ani, Total, Total, Arges, Anul 2019, Numar persoane, 26760
0- 4 ani, Total, Total, Arges, Anul 2020, Numar persoane, 27044
0- 4 ani, Total, Total, Arges, Anul 2021, Numar persoane, 27017
0- 4 ani, Total, Total, Arges, Anul 2022, Numar persoane, 25959
0- 4 ani, Total, Total, Arges, Anul 2023, Numar persoane, 25147
0- 4 ani, Total, Total, Calarasi, Anul 2012, Numar persoane, 16648
0- 4 ani, Total, Total, Calarasi, Anul 2013, Numar persoane, 15868
0- 4 ani, Total, Total, Calarasi, Anul 2014, Numar persoane, 14916
0- 4 ani, Total, Total, Calarasi, Anul 2015, Numar persoane, 14296
0- 4 ani, Total, Total, Calarasi, Anul 2016, Numar persoane, 13927
0- 4 ani, Total, Total, Calarasi, Anul 2017, Numar persoane, 13992
0- 4 ani, Total, Total, Calarasi, Anul 2018, Numar persoane, 13947
0- 4 ani, Total, Total, Calarasi, Anul 2019, Numar persoane, 14135
0- 4 ani, Total, Total, Calarasi, Anul 2020, Numar persoane, 14143
0- 4 ani, Total, Total, Calarasi, Anul 2021, Numar persoane, 14241
0- 4 ani, Total, Total, Calarasi, Anul 2022, Numar persoane, 14214
0- 4 ani, Total, Total, Calarasi, Anul 2023, Numar persoane, 13961
0- 4 ani, Total, Total, Dambovita, Anul 2012, Numar persoane, 26270
0- 4 ani, Total, Total, Dambovita, Anul 2013, Numar persoane, 25211
0- 4 ani, Total, Total, Dambovita, Anul 2014, Numar persoane, 23890
0- 4 ani, Total, Total, Dambovita, Anul 2015, Numar persoane, 22762
0- 4 ani, Total, Total, Dambovita, Anul 2016, Numar persoane, 21621
0- 4 ani, Total, Total, Dambovita, Anul 2017, Numar persoane, 21471
0- 4 ani, Total, Total, Dambovita, Anul 2018, Numar persoane, 21534
0- 4 ani, Total, Total, Dambovita, Anul 2019, Numar persoane, 21618
0- 4 ani, Total, Total, Dambovita, Anul 2020, Numar persoane, 21762
0- 4 ani, Total, Total, Dambovita, Anul 2021, Numar persoane, 21933
0- 4 ani, Total, Total, Dambovita, Anul 2022, Numar persoane, 23403
0- 4 ani, Total, Total, Dambovita, Anul 2023, Numar persoane, 22701
0- 4 ani, Total, Total, Giurgiu, Anul 2012, Numar persoane, 14299
0- 4 ani, Total, Total, Giurgiu, Anul 2013, Numar persoane, 13864
0- 4 ani, Total, Total, Giurgiu, Anul 2014, Numar persoane, 13206
0- 4 ani, Total, Total, Giurgiu, Anul 2015, Numar persoane, 12607
0- 4 ani, Total, Total, Giurgiu, Anul 2016, Numar persoane, 12264
0- 4 ani, Total, Total, Giurgiu, Anul 2017, Numar persoane, 12030
0- 4 ani, Total, Total, Giurgiu, Anul 2018, Numar persoane, 11959
0- 4 ani, Total, Total, Giurgiu, Anul 2019, Numar persoane, 11896
0- 4 ani, Total, Total, Giurgiu, Anul 2020, Numar persoane, 11897
0- 4 ani, Total, Total, Giurgiu, Anul 2021, Numar persoane, 11737
0- 4 ani, Total, Total, Giurgiu, Anul 2022, Numar persoane, 12469
0- 4 ani, Total, Total, Giurgiu, Anul 2023, Numar persoane, 12060
0- 4 ani, Total, Total, Ialomita, Anul 2012, Numar persoane, 15551
0- 4 ani, Total, Total, Ialomita, Anul 2013, Numar persoane, 14830
0- 4 ani, Total, Total, Ialomita, Anul 2014, Numar persoane, 14143
0- 4 ani, Total, Total, Ialomita, Anul 2015, Numar persoane, 13864
0- 4 ani, Total, Total, Ialomita, Anul 2016, Numar persoane, 13585
0- 4 ani, Total, Total, Ialomita, Anul 2017, Numar persoane, 13599
0- 4 ani, Total, Total, Ialomita, Anul 2018, Numar persoane, 13794
0- 4 ani, Total, Total, Ialomita, Anul 2019, Numar persoane, 13999
0- 4 ani, Total, Total, Ialomita, Anul 2020, Numar persoane, 13945
0- 4 ani, Total, Total, Ialomita, Anul 2021, Numar persoane, 14245
0- 4 ani, Total, Total, Ialomita, Anul 2022, Numar persoane, 13282
0- 4 ani, Total, Total, Ialomita, Anul 2023, Numar persoane, 13519
0- 4 ani, Total, Total, Prahova, Anul 2012, Numar persoane, 36166
0- 4 ani, Total, Total, Prahova, Anul 2013, Numar persoane, 34506
0- 4 ani, Total, Total, Prahova, Anul 2014, Numar persoane, 33138
0- 4 ani, Total, Total, Prahova, Anul 2015, Numar persoane, 32213
0- 4 ani, Total, Total, Prahova, Anul 2016, Numar persoane, 31790
0- 4 ani, Total, Total, Prahova, Anul 2017, Numar persoane, 31996
0- 4 ani, Total, Total, Prahova, Anul 2018, Numar persoane, 32284
0- 4 ani, Total, Total, Prahova, Anul 2019, Numar persoane, 32638
0- 4 ani, Total, Total, Prahova, Anul 2020, Numar persoane, 32369
0- 4 ani, Total, Total, Prahova, Anul 2021, Numar persoane, 31747
0- 4 ani, Total, Total, Prahova, Anul 2022, Numar persoane, 30589
0- 4 ani, Total, Total, Prahova, Anul 2023, Numar persoane, 29646
0- 4 ani, Total, Total, Teleorman, Anul 2012, Numar persoane, 15837
0- 4 ani, Total, Total, Teleorman, Anul 2013, Numar persoane, 14949
0- 4 ani, Total, Total, Teleorman, Anul 2014, Numar persoane, 14187
0- 4 ani, Total, Total, Teleorman, Anul 2015, Numar persoane, 13811
0- 4 ani, Total, Total, Teleorman, Anul 2016, Numar persoane, 13431
0- 4 ani, Total, Total, Teleorman, Anul 2017, Numar persoane, 13547
0- 4 ani, Total, Total, Teleorman, Anul 2018, Numar persoane, 13682
0- 4 ani, Total, Total, Teleorman, Anul 2019, Numar persoane, 13711
0- 4 ani, Total, Total, Teleorman, Anul 2020, Numar persoane, 13551
0- 4 ani, Total, Total, Teleorman, Anul 2021, Numar persoane, 13563
